Driver,LapNumber,Compound,TyreLife,Stint,LapTime,PitInTime,PitOutTime,TrackStatus,IsAccurate,LapTimeS,Track,Pitted
VER,2.0,MEDIUM,2.0,1.0,0 days 00:01:27.349000,,,1,True,87.349,Albert Park,0
VER,3.0,MEDIUM,3.0,1.0,0 days 00:01:27.511000,,,1,True,87.511,Albert Park,0
VER,4.0,MEDIUM,4.0,1.0,0 days 00:01:27.324000,,,1,True,87.324,Albert Park,0
VER,5.0,MEDIUM,5.0,1.0,0 days 00:01:26.843000,,,1,True,86.843,Albert Park,0
VER,6.0,MEDIUM,6.0,1.0,0 days 00:01:27.123000,,,1,True,87.123,Albert Park,0
VER,11.0,MEDIUM,4.0,2.0,0 days 00:01:27.109000,,,1,True,87.109,Albert Park,0
VER,12.0,MEDIUM,5.0,2.0,0 days 00:01:26.659000,,,1,True,86.659,Albert Park,0
VER,13.0,MEDIUM,6.0,2.0,0 days 00:01:26.550000,,,1,True,86.55,Albert Park,0
VER,14.0,MEDIUM,7.0,2.0,0 days 00:01:26.148000,,,1,True,86.148,Albert Park,0
VER,15.0,MEDIUM,8.0,2.0,0 days 00:01:26.298000,,,1,True,86.298,Albert Park,0
VER,16.0,MEDIUM,9.0,2.0,0 days 00:01:26.042000,,,1,True,86.042,Albert Park,0
VER,17.0,MEDIUM,10.0,2.0,0 days 00:01:25.977000,,,1,True,85.977,Albert Park,0
VER,18.0,MEDIUM,11.0,2.0,0 days 00:01:25.759000,,,1,True,85.759,Albert Park,0
VER,19.0,MEDIUM,12.0,2.0,0 days 00:01:25.727000,,,1,True,85.727,Albert Park,0
VER,20.0,MEDIUM,13.0,2.0,0 days 00:01:25.864000,,,1,True,85.864,Albert Park,0
VER,21.0,MEDIUM,14.0,2.0,0 days 00:01:25.803000,,,1,True,85.803,Albert Park,0
VER,22.0,MEDIUM,15.0,2.0,0 days 00:01:25.921000,,,1,True,85.921,Albert Park,0
VER,23.0,MEDIUM,16.0,2.0,0 days 00:01:25.877000,,,1,True,85.877,Albert Park,0
VER,24.0,MEDIUM,17.0,2.0,0 days 00:01:25.740000,,,1,True,85.74,Albert Park,0
VER,25.0,MEDIUM,18.0,2.0,0 days 00:01:25.618000,,,1,True,85.618,Albert Park,0
VER,26.0,MEDIUM,19.0,2.0,0 days 00:01:25.431000,,,1,True,85.431,Albert Park,0
VER,27.0,MEDIUM,20.0,2.0,0 days 00:01:25.606000,,,1,True,85.606,Albert Park,0
VER,28.0,MEDIUM,21.0,2.0,0 days 00:01:25.477000,,,1,True,85.477,Albert Park,0
VER,29.0,MEDIUM,22.0,2.0,0 days 00:01:25.481000,,,1,True,85.481,Albert Park,0
VER,30.0,MEDIUM,23.0,2.0,0 days 00:01:25.359000,,,1,True,85.359,Albert Park,0
VER,31.0,MEDIUM,24.0,2.0,0 days 00:01:25.405000,,,1,True,85.405,Albert Park,0
VER,34.0,HARD,2.0,3.0,0 days 00:01:24.845000,,,1,True,84.845,Albert Park,0
VER,35.0,HARD,3.0,3.0,0 days 00:01:24.779000,,,1,True,84.779,Albert Park,0
VER,36.0,HARD,4.0,3.0,0 days 00:01:24.744000,,,1,True,84.744,Albert Park,0
VER,37.0,HARD,5.0,3.0,0 days 00:01:24.618000,,,1,True,84.618,Albert Park,0
