race,t_pre,t_2026,delta,had_sc,n_sc_laps
0,5293.566782559893,5293.566782559893,0.0,True,5
1,5021.85245306389,5021.85245306389,0.0,False,0
2,5021.85245306389,5021.85245306389,0.0,False,0
3,5021.85245306389,5021.85245306389,0.0,False,0
4,5021.85245306389,5021.85245306389,0.0,False,0
5,5021.85245306389,5021.85245306389,0.0,False,0
6,5239.35099759341,5239.35099759341,0.0,True,4
7,5073.109083755692,5072.709083755692,0.4000000000005457,True,1
8,5021.85245306389,5021.85245306389,0.0,False,0
9,5058.420416087083,5058.0204160870835,0.3999999999996362,True,1
10,5700.202821546297,5698.602821546296,1.6000000000012733,True,13
11,5160.308346956533,5159.108346956533,1.199999999999818,True,3
12,5021.85245306389,5021.85245306389,0.0,False,0
13,5663.550192215973,5660.350192215974,3.1999999999989086,True,13
14,5272.259602520413,5270.259602520414,1.9999999999990905,True,5
15,5021.85245306389,5021.85245306389,0.0,False,0
16,5021.85245306389,5021.85245306389,0.0,False,0
17,5177.54046245717,5176.340462457169,1.2000000000007276,True,3
18,5021.85245306389,5021.85245306389,0.0,False,0
19,5211.113361486706,5209.513361486706,1.5999999999994543,True,4
20,5160.23173050908,5159.031730509079,1.2000000000007276,True,3
21,5073.109083755692,5072.709083755692,0.4000000000005457,True,1
22,5021.85245306389,5021.85245306389,0.0,False,0
23,5413.956846088832,5411.956846088832,2.0,True,8
24,5021.85245306389,5021.85245306389,0.0,False,0
25,5021.85245306389,5021.85245306389,0.0,False,0
26,5021.85245306389,5021.85245306389,0.0,False,0
27,5021.85245306389,5021.85245306389,0.0,False,0
28,5160.528595280388,5159.328595280388,1.199999999999818,True,3
29,5021.85245306389,5021.85245306389,0.0,False,0
30,5021.85245306389,5021.85245306389,0.0,False,0
31,5021.85245306389,5021.85245306389,0.0,False,0
32,5212.357995907576,5210.7579959075765,1.5999999999994543,True,4
33,5073.711580531964,5073.311580531964,0.3999999999996362,True,1
34,5312.943285216494,5311.343285216493,1.6000000000003638,True,6
35,5021.85245306389,5021.85245306389,0.0,False,0
36,5021.85245306389,5021.85245306389,0.0,False,0
37,5021.85245306389,5021.85245306389,0.0,False,0
38,5021.85245306389,5021.85245306389,0.0,False,0
39,5021.85245306389,5021.85245306389,0.0,False,0
40,5676.576750390931,5674.9767503909325,1.5999999999985448,True,13
41,5075.418654731401,5075.018654731401,0.4000000000005457,True,1
42,5021.85245306389,5021.85245306389,0.0,False,0
43,5021.85245306389,5021.85245306389,0.0,False,0
44,5283.023088975134,5281.423088975133,1.6000000000003638,True,5
45,5160.308346956533,5159.108346956533,1.199999999999818,True,3
46,5021.85245306389,5021.85245306389,0.0,False,0
47,5613.912161907616,5612.312161907617,1.5999999999985448,True,11
48,5021.85245306389,5021.85245306389,0.0,False,0
49,5021.85245306389,5021.85245306389,0.0,False,0
50,5073.711580531964,5073.311580531964,0.3999999999996362,True,1
51,5215.441750014065,5213.841750014067,1.5999999999985448,True,4
52,5021.85245306389,5021.85245306389,0.0,False,0
53,5059.2985593922185,5058.898559392219,0.3999999999996362,True,1
54,5021.85245306389,5021.85245306389,0.0,False,0
55,5427.600458722434,5424.800458722435,2.7999999999992724,True,8
56,5421.777331321189,5419.777331321189,2.0,True,8
57,5021.85245306389,5021.85245306389,0.0,False,0
58,5465.904416827106,5464.304416827105,1.6000000000003638,True,9
59,5414.56925537935,5412.969255379349,1.6000000000003638,True,8
60,5969.12996543414,5967.529965434141,1.5999999999994543,True,18
61,5944.538414072273,5941.738414072273,2.7999999999992724,True,18
