race,t_adaptive,t_fixed
0,5293.566782559893,5293.566782559893
1,5021.85245306389,5021.85245306389
2,5021.85245306389,5021.85245306389
3,5021.85245306389,5021.85245306389
4,5021.85245306389,5021.85245306389
5,5021.85245306389,5021.85245306389
6,5239.35099759341,5239.35099759341
7,5072.709083755692,5073.109083755692
8,5021.85245306389,5021.85245306389
9,5058.0204160870835,5072.820416087084
10,5698.602821546296,5700.202821546297
11,5159.108346956533,5174.708346956533
12,5021.85245306389,5021.85245306389
13,5660.350192215974,5678.708906485084
14,5270.259602520414,5285.398570277051
15,5021.85245306389,5021.85245306389
16,5021.85245306389,5021.85245306389
17,5176.340462457169,5177.54046245717
18,5021.85245306389,5021.85245306389
19,5209.513361486706,5225.2266502852735
20,5159.031730509079,5174.105850180261
21,5072.709083755692,5073.109083755692
22,5021.85245306389,5021.85245306389
23,5411.956846088832,5425.131557089536
24,5021.85245306389,5021.85245306389
25,5021.85245306389,5021.85245306389
26,5021.85245306389,5021.85245306389
27,5021.85245306389,5021.85245306389
28,5159.328595280388,5160.528595280388
29,5021.85245306389,5021.85245306389
30,5021.85245306389,5021.85245306389
31,5021.85245306389,5021.85245306389
32,5210.7579959075765,5223.218327697701
33,5073.311580531964,5073.711580531964
34,5311.343285216493,5325.612764989545
35,5021.85245306389,5021.85245306389
36,5021.85245306389,5021.85245306389
37,5021.85245306389,5021.85245306389
38,5021.85245306389,5021.85245306389
39,5021.85245306389,5021.85245306389
40,5674.9767503909325,5676.576750390931
41,5075.018654731401,5075.418654731401
42,5021.85245306389,5021.85245306389
43,5021.85245306389,5021.85245306389
44,5281.423088975133,5283.023088975134
45,5159.108346956533,5174.708346956533
46,5021.85245306389,5021.85245306389
47,5612.312161907617,5613.912161907616
48,5021.85245306389,5021.85245306389
49,5021.85245306389,5021.85245306389
50,5073.311580531964,5073.711580531964
51,5213.841750014067,5230.617164197316
52,5021.85245306389,5021.85245306389
53,5058.898559392219,5072.318335440191
54,5021.85245306389,5021.85245306389
55,5424.800458722435,5441.201037724847
56,5419.777331321189,5435.202871475711
57,5021.85245306389,5021.85245306389
58,5464.304416827105,5465.904416827106
59,5412.969255379349,5428.344873229653
60,5967.529965434141,5983.880806915068
61,5941.738414072273,5959.479687476053
62,5021.85245306389,5021.85245306389
63,5060.09887051487,5072.117503181434
64,5021.85245306389,5021.85245306389
65,5021.85245306389,5021.85245306389
66,5021.85245306389,5021.85245306389
67,5021.85245306389,5021.85245306389
68,5119.083864288473,5119.755735542818
69,5021.85245306389,5021.85245306389
70,5021.85245306389,5021.85245306389
71,5021.85245306389,5021.85245306389
72,5129.326309485096,5130.1263094850965
73,5021.85245306389,5021.85245306389
74,5021.85245306389,5021.85245306389
75,5690.410522058238,5703.393981340959
76,5021.85245306389,5021.85245306389
77,5176.641710845305,5177.841710845306
78,5021.85245306389,5021.85245306389
79,5346.716530283745,5347.116530283745
80,5021.85245306389,5021.85245306389
81,5123.903838498649,5124.703838498649
82,5021.85245306389,5021.85245306389
83,5127.317986897524,5128.117986897523
84,5075.319903119537,5075.719903119537
85,5021.85245306389,5021.85245306389
86,5021.85245306389,5021.85245306389
87,5418.717160437188,5432.464834468902
88,5109.894042530506,5122.567387165421
89,5021.85245306389,5021.85245306389
90,5652.734476472281,5655.934476472281
91,5074.416157955129,5074.816157955129
92,5021.85245306389,5021.85245306389
93,5217.870973836284,5219.603347040069
94,5021.85245306389,5021.85245306389
95,5772.423022072604,5787.798876454716
96,5312.938766015201,5323.202777884457
97,5616.412115449573,5632.412115449573
98,5620.40341247148,5635.400140303794
99,5021.85245306389,5021.85245306389
100,5021.85245306389,5021.85245306389
101,5021.85245306389,5021.85245306389
102,5021.85245306389,5021.85245306389
103,5237.7476685583815,5238.547668558382
104,5021.85245306389,5021.85245306389
105,5124.50633527492,5125.3063352749205
106,5073.4119966613425,5073.811996661342
107,5160.73442109169,5176.374714427493
108,6124.621739905583,6126.2217399055835
109,5021.85245306389,5021.85245306389
110,5021.85245306389,5021.85245306389
111,5021.85245306389,5021.85245306389
112,5108.527761055138,5123.37071620045
113,5130.728806261368,5130.728806261368
114,5021.85245306389,5021.85245306389
115,5656.64404744799,5658.24404744799
116,5113.201018407243,5121.764058130391
117,5021.85245306389,5021.85245306389
118,5058.480343931022,5072.418751569569
119,5021.85245306389,5021.85245306389
120,5021.85245306389,5021.85245306389
121,5021.85245306389,5021.85245306389
122,5182.763765702375,5183.163765702375
123,5262.943935879334,5278.9655582025935
124,5392.9777697785175,5394.577769778518
125,5075.420319248916,5075.820319248915
126,5261.652899782429,5263.252899782429
127,5021.85245306389,5021.85245306389
128,5021.85245306389,5021.85245306389
